partida_id,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
5109,13,2015-07-11,21:00,Ponte Preta,Atlético Mineiro,4-2-3-1,4-2-3-1,A. Ferreira,L. Culpi,Atlético Mineiro,Moisés Lucarelli,0,2,SP,MG
5110,13,2015-07-12,11:01,São Paulo,Coritiba,4-2-3-1,4-2-3-1,J. Osorio,N. da Silveira Júnior,São Paulo,Morumbi,3,1,SP,PR
5112,13,2015-07-12,16:00,Flamengo,Corinthians,4-1-4-1,4-2-3-1,C. Borges dos Santos,A. Bacchi,Corinthians,Maracanã,0,3,RJ,SP
5111,13,2015-07-12,16:01,Joinville,Internacional,4-2-2-2,4-2-3-1,A. Batista,D. Aguirre Camblor,Internacional,Arena Joinville,0,2,SC,RS
5113,13,2015-07-12,16:01,Athletico Paranaense,Fluminense,4-2-3-1,4-2-3-1,M. Mendes,E. Alves Moreira,Fluminense,Estádio Joaquim Américo Guimarães,1,2,PR,RJ
5114,13,2015-07-12,16:01,Cruzeiro,Goiás,4-2-3-1,4-3-1-2,V. Luxemburgo da Silva,J. Camargo,Cruzeiro,Mineirão,1,0,MG,GO
5115,13,2015-07-12,18:31,Sport,Palmeiras,4-3-3,4-2-3-1,E. Baptista,M. de Oliveira Santos,-,Arena de Pernambuco,2,2,PE,SP
5116,13,2015-07-12,18:31,Avaí,Chapecoense,4-2-3-1,4-3-1-2,G. Kleina,V. Eutrópio,Avaí,Ressacada,2,1,SC,SC
5117,14,2015-07-18,18:28,Internacional,Goiás,4-2-3-1,4-3-1-2,D. Aguirre Camblor,J. Camargo,Internacional,Estádio José Pinheiro Borda,2,1,RS,GO
5118,14,2015-07-18,18:29,Flamengo,Grêmio,4-2-3-1,4-2-3-1,C. Borges dos Santos,R. Machado Marques,Flamengo,Maracanã,1,0,RJ,RS
5119,14,2015-07-18,21:05,Corinthians,Atlético Mineiro,4-2-3-1,4-2-3-1,A. Bacchi,L. Culpi,Corinthians,Neo Química Arena,1,0,SP,MG
5120,14,2015-07-19,11:02,Athletico Paranaense,Chapecoense,4-2-3-1,4-3-2-1,M. Mendes,V. Eutrópio,Athletico Paranaense,Estádio Joaquim Américo Guimarães,1,0,PR,SC
5121,14,2015-07-19,16:01,Figueirense,Coritiba,4-4-2,4-2-3-1,A. Fucks,N. da Silveira Júnior,-,Orlando Scarpelli,0,0,SC,PR
5123,14,2015-07-19,16:01,Fluminense,Vasco da Gama,4-2-3-1,4-2-3-1,E. Alves Moreira,C. Juarez Roth,Vasco da Gama,Maracanã,1,2,RJ,RJ
5124,14,2015-07-19,16:01,Palmeiras,Santos,4-2-3-1,4-2-3-1,M. de Oliveira Santos,D. Silvestre Júnior,Palmeiras,Allianz Parque,1,0,SP,SP
5122,14,2015-07-19,16:02,Sport,São Paulo,4-2-3-1,3-4-1-2,E. Baptista,J. Osorio,Sport,Arena de Pernambuco,2,0,PE,SP
5125,14,2015-07-19,18:31,Cruzeiro,Avaí,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,G. Kleina,-,Mineirão,1,1,MG,SC
5126,14,2015-07-19,18:31,Joinville,Ponte Preta,4-4-2,4-2-3-1,A. Batista,A. Ferreira,-,Arena Joinville,1,1,SC,SP
5127,15,2015-07-25,19:21,Avaí,Athletico Paranaense,4-2-3-1,4-2-3-1,G. Kleina,M. Mendes,Athletico Paranaense,Ressacada,1,2,SC,PR
5128,15,2015-07-25,19:30,Grêmio,Sport,4-2-3-1,4-2-3-1,R. Machado Marques,E. Baptista,-,Arena do Grêmio,1,1,RS,PE
5129,15,2015-07-25,20:59,Atlético Mineiro,Figueirense,4-2-3-1,4-2-3-1,L. Culpi,A. Fucks,Atlético Mineiro,Estádio Raimundo Sampaio,1,0,MG,SC
5131,15,2015-07-26,11:00,Santos,Joinville,4-2-3-1,4-4-2,D. Silvestre Júnior,A. Batista,Santos,Estádio Urbano Caldeira,2,0,SP,SC
5130,15,2015-07-26,11:02,Chapecoense,Fluminense,4-2-3-1,4-2-3-1,V. Eutrópio,E. Alves Moreira,Chapecoense,Arena Condá,2,1,SC,RJ
5132,15,2015-07-26,15:59,Ponte Preta,Internacional,4-2-3-1,4-2-2-2,A. Ferreira,D. Aguirre Camblor,-,Moisés Lucarelli,0,0,SP,RS
5135,15,2015-07-26,15:59,Goiás,Flamengo,4-3-1-2,4-2-3-1,J. Camargo,C. Borges dos Santos,Flamengo,Estádio do Governo do Estado de Goiás (Serra Dourada),0,1,GO,RJ
5133,15,2015-07-26,16:01,Coritiba,Corinthians,4-4-1-1,4-2-3-1,N. da Silveira Júnior,A. Bacchi,-,Couto Pereira,1,1,PR,SP
5134,15,2015-07-26,16:02,São Paulo,Cruzeiro,4-2-3-1,4-2-3-1,J. Osorio,V. Luxemburgo da Silva,São Paulo,Morumbi,1,0,SP,MG
5136,15,2015-07-26,18:33,Vasco da Gama,Palmeiras,4-2-3-1,4-2-3-1,C. Juarez Roth,M. de Oliveira Santos,Palmeiras,Estádio Vasco da Gama,1,4,RJ,SP
5137,16,2015-07-29,21:59,Corinthians,Vasco da Gama,4-2-3-1,4-3-1-2,A. Bacchi,C. Juarez Roth,Corinthians,Neo Química Arena,3,0,SP,RJ
5138,16,2015-07-29,22:01,Atlético Mineiro,São Paulo,4-3-2-1,3-4-1-2,L. Culpi,J. Osorio,Atlético Mineiro,Mineirão,3,1,MG,SP
5139,16,2015-08-01,18:29,Fluminense,Grêmio,4-2-3-1,4-2-3-1,E. Alves Moreira,R. Machado Marques,Fluminense,Maracanã,1,0,RJ,RS
5141,16,2015-08-02,11:01,Palmeiras,Athletico Paranaense,4-2-3-1,4-2-3-1,M. de Oliveira Santos,M. Mendes,Athletico Paranaense,Allianz Parque,0,1,SP,PR
5140,16,2015-08-02,11:02,Coritiba,Goiás,4-4-1-1,4-1-2-1-2,N. da Silveira Júnior,J. Camargo,-,Couto Pereira,1,1,PR,GO
5142,16,2015-08-02,16:00,Joinville,Avaí,4-2-3-1,3-4-1-2,P. Lopes de Gusmão,G. Kleina,Joinville,Arena Joinville,2,0,SC,SC
5143,16,2015-08-02,16:00,Internacional,Chapecoense,4-2-3-1,4-2-3-1,D. Aguirre Camblor,V. Eutrópio,-,Estádio José Pinheiro Borda,0,0,RS,SC
5144,16,2015-08-02,16:01,Figueirense,Ponte Preta,4-4-2,4-2-3-1,A. Fucks,A. Ferreira,Figueirense,Orlando Scarpelli,3,1,SC,SP
5145,16,2015-08-02,16:01,Flamengo,Santos,4-2-3-1,4-2-3-1,C. Borges dos Santos,D. Silvestre Júnior,-,Maracanã,2,2,RJ,SP
5146,16,2015-08-02,18:29,Sport,Cruzeiro,4-2-3-1,4-3-3,E. Baptista,V. Luxemburgo da Silva,-,Arena de Pernambuco,0,0,PE,MG
5147,17,2015-08-08,18:33,Avaí,Fluminense,4-3-1-2,4-2-3-1,G. Kleina,E. Alves Moreira,Avaí,Ressacada,1,0,SC,RJ
5148,17,2015-08-08,21:01,Santos,Coritiba,4-2-3-1,4-4-1-1,D. Silvestre Júnior,N. da Silveira Júnior,Santos,Estádio Urbano Caldeira,3,0,SP,PR
5149,17,2015-08-09,11:01,Athletico Paranaense,Sport,4-2-3-1,4-2-3-1,M. Mendes,E. Baptista,-,Estádio Joaquim Américo Guimarães,1,1,PR,PE
5150,17,2015-08-09,11:02,Vasco da Gama,Joinville,4-2-3-1,4-2-3-1,C. Juarez Roth,P. Lopes de Gusmão,-,Maracanã,0,0,RJ,SC
5153,17,2015-08-09,15:59,Ponte Preta,Flamengo,4-2-3-1,4-2-3-1,D. Ghidoni Junior,C. Borges dos Santos,Ponte Preta,Moisés Lucarelli,1,0,SP,RJ
