partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
5133,15,Corinthians,8,0,46.0,405,,18,3,0,0,5
5133,15,Coritiba,11,0,54.0,461,,7,3,0,10,5
5134,15,São Paulo,10,0,49.0,428,,16,0,0,4,5
5134,15,Cruzeiro,11,0,51.0,457,,14,1,0,0,2
5136,15,Vasco da Gama,8,0,56.0,446,,14,3,0,8,8
5136,15,Palmeiras,18,0,44.0,363,,21,1,0,5,4
5137,16,Vasco da Gama,11,0,40.0,357,,15,3,0,9,4
5137,16,Corinthians,20,0,60.0,552,,7,0,0,0,3
5138,16,Atlético Mineiro,14,0,49.0,521,,6,0,0,2,3
5138,16,São Paulo,15,0,51.0,550,,6,1,0,7,4
5139,16,Grêmio,9,0,55.0,484,,13,1,1,1,4
5139,16,Fluminense,12,0,45.0,399,,16,3,0,3,4
5141,16,Palmeiras,16,0,51.0,433,,13,1,0,2,5
5141,16,Athletico Paranaense,9,0,49.0,442,,18,2,0,2,4
5140,16,Goiás,14,0,39.0,297,,19,4,0,1,7
5140,16,Coritiba,17,0,61.0,459,,11,4,0,3,9
5142,16,Avaí,8,0,49.0,392,,9,1,0,0,4
5142,16,Joinville,3,0,51.0,393,,22,2,0,2,10
5143,16,Internacional,11,0,64.0,509,,4,3,0,2,11
5143,16,Chapecoense,11,0,36.0,301,,13,2,0,3,7
5144,16,Figueirense,12,0,44.0,303,,19,2,0,1,4
5144,16,Ponte Preta,19,0,56.0,388,,18,3,0,1,5
5145,16,Santos,10,0,45.0,395,,14,2,0,0,3
5145,16,Flamengo,26,0,55.0,443,,17,4,0,2,9
5146,16,Sport,7,0,49.0,457,,15,1,0,3,6
5146,16,Cruzeiro,11,0,51.0,473,,17,2,0,5,6
5147,17,Avaí,13,0,30.0,221,,14,2,0,2,6
5147,17,Fluminense,13,0,70.0,526,,12,2,0,3,9
5148,17,Coritiba,8,0,49.0,447,,15,4,0,3,5
5148,17,Santos,12,0,51.0,453,,12,1,0,1,5
5149,17,Sport,8,0,47.0,491,,11,0,0,0,2
5149,17,Athletico Paranaense,16,0,53.0,516,,6,0,0,4,7
5150,17,Joinville,15,0,40.0,301,,21,4,0,3,9
5150,17,Vasco da Gama,20,0,60.0,440,,17,2,0,2,9
5153,17,Flamengo,16,0,59.0,457,,16,4,0,0,4
5153,17,Ponte Preta,10,0,41.0,337,,17,2,0,0,3
5152,17,Cruzeiro,17,0,48.0,415,,21,4,0,4,5
5152,17,Palmeiras,13,0,52.0,446,,18,3,0,4,7
5154,17,Goiás,13,0,37.0,347,,8,2,0,3,2
5154,17,Atlético Mineiro,8,0,63.0,568,,11,2,0,0,6
5151,17,Corinthians,10,0,41.0,354,,16,1,1,4,5
5151,17,São Paulo,19,0,59.0,503,,13,4,0,7,8
5155,17,Grêmio,16,0,57.0,553,,16,2,0,1,4
5155,17,Internacional,12,0,43.0,417,,12,4,0,1,5
5156,17,Figueirense,10,0,51.0,321,,13,1,0,2,7
5156,17,Chapecoense,8,0,49.0,331,,20,1,0,0,5
5158,18,Flamengo,9,0,47.0,390,,10,2,0,1,7
5158,18,Athletico Paranaense,9,0,53.0,458,,16,3,1,1,4
5157,18,Coritiba,9,0,45.0,402,,14,3,0,0,3
5157,18,Palmeiras,9,0,55.0,475,,11,1,0,1,8
5159,18,Santos,21,0,52.0,370,,12,3,0,8,6
5159,18,Vasco da Gama,8,0,48.0,343,,22,4,1,0,6
5160,18,Chapecoense,2,0,45.0,450,,16,3,0,0,1
5160,18,Goiás,17,0,55.0,507,,6,1,0,0,12
5161,18,Figueirense,15,0,52.0,376,,18,3,0,1,6
5161,18,São Paulo,7,0,48.0,356,,18,4,1,0,6
5162,18,Internacional,17,0,60.0,465,,20,6,0,0,8
5162,18,Fluminense,8,0,40.0,315,,14,3,2,0,8
5163,18,Sport,10,0,43.0,391,,8,1,0,4,4
5163,18,Corinthians,15,0,57.0,491,,11,2,0,2,9
5164,18,Ponte Preta,14,0,63.0,539,,13,1,0,3,4
5164,18,Avaí,4,0,37.0,318,,6,1,0,1,1
5166,18,Atlético Mineiro,24,0,60.0,563,,10,2,0,1,12
5166,18,Grêmio,9,0,40.0,413,,12,3,0,2,3
5165,18,Cruzeiro,8,0,67.0,627,,10,2,0,3,9
5165,18,Joinville,14,0,33.0,298,,10,1,0,0,8
5167,19,Coritiba,13,0,44.0,323,,19,1,0,0,3
5167,19,Vasco da Gama,20,0,56.0,389,,12,3,0,1,7
5168,19,Athletico Paranaense,13,0,63.0,502,,10,1,1,2,11
5168,19,Santos,8,0,37.0,307,,13,1,0,3,4
5169,19,Goiás,14,0,34.0,339,,4,0,0,1,8
5169,19,São Paulo,5,0,66.0,636,,4,1,0,0,7
5170,19,Flamengo,21,0,62.0,466,,15,2,0,4,6
5170,19,Palmeiras,12,0,38.0,300,,18,2,0,0,3
5172,19,Fluminense,19,0,58.0,442,,14,1,0,1,3
5172,19,Figueirense,5,0,42.0,330,,18,1,1,1,2
5173,19,Cruzeiro,11,0,55.0,476,,14,2,0,3,5
5173,19,Internacional,9,0,45.0,391,,22,2,0,0,6
5174,19,Sport,11,0,47.0,481,,7,0,0,1,3
5174,19,Ponte Preta,12,0,53.0,542,,16,0,0,2,1
